index;name;etype;bus;p_mw;vm_pu;sn_mva;in_service;min_q_mvar;max_q_mvar
300166;Макинск;gen;150;0;1;None;False;0;0
300167;Степная;gen;151;108;1.17;None;False;12;189
300168;ТОКТОГУЛЬСКАЯ ГЭС;gen;2921;2360;1.14;None;False;-800;800
300169;Янко (т);gen;153;0;1;None;False;0;0
300170;Сибирь;gen;160;0;1;None;True;0;0
300171;Буран;gen;173;0;1;None;False;0;0
300172;Уголки(т);gen;156;0;1;None;False;0;0
300173;Куйбышевская;gen;157;0;1;None;False;0;0
300174;Кокшетауская-1150;gen;176;0;1;None;False;0;0
300175;Урожайная;gen;1673;0;1.11;None;True;-100;156
300176;Перекатная (т);gen;172;0;1;None;False;0;0
300177;Жаксы (т);gen;164;0;1;None;True;0;0
300178;КУРГАН;gen;4727;500;1.11;None;False;-500;500
300179;СМЕЛОВСКАЯ;gen;50014;0;1;None;False;0;0
300180;Экибастузская тэц;gen;44;12;1.97;None;True;0;9
300181;арбз;gen;4004;40;1.15;None;True;-10;20
300182;бгок;gen;62;0;1;None;False;0;0
300183;Коян-Кос;gen;953;0;1;None;False;0;0
300184;Шымкентская ТЭЦ-3;gen;813;57;1.18;None;False;-105;185
300185;Барнаул-220;gen;1640;0;1;None;True;0;0
300186;Ру-6;gen;869;0;1;None;False;0;0
300187;УЗБЕКИСТОН;gen;2922;0;1;None;True;0;0
300188;АЛТАЙ;gen;1660;12865;1.11;None;False;-6000;6000
300189;СЫРДАРЬИНСКАЯ ТЭС;gen;2923;5240;1.11;None;True;-2000;10300
300190;Рубцовская;gen;1622;0;1;None;False;0;0
300191;ЛОЧИН;gen;2920;0;1;None;True;0;0
300192;БАРАБИНСКАЯ;gen;9917;0;1.13;None;False;-180;0
300193;КУРЧАТОВСКАЯ;gen;50002;850;1.13;None;False;-60;60
300194;сэс бурное;gen;810;0;1;None;False;0;0
300195;ЮЖНОУРАЛЬСКАЯ ГРЭС-2;gen;47161;250;1.13;None;False;-300;300
300196;Кемин;gen;2952;0;1;None;False;0;0
300197;Восход;gen;1854;0;1;None;False;0;0
300198;ВИТЯЗЬ;gen;1852;0;1;None;False;0;0
300199;КЕМИН;gen;2951;1454;1.14;None;False;-800;800
300200;Акмолинская ТЭЦ;gen;108;129;1.16;None;False;-223.9;463.3
300201;ДАТКА;gen;2950;1115;1;None;True;0;0
300202;Акжар;gen;3004;40;1.15;None;True;-10;20
300203;Ерменсай;gen;942;15;1.12;None;False;-10;10
300204;ТМК;gen;242;50;1.14;None;False;-291;404
300205;ПС-7;gen;215;845;1.14;None;False;-110;256
300206;Новокузнецкая;gen;1638;378;1;None;True;0;0
300207;Итатская;gen;1636;500;1;None;True;0;0
300208;Юрга;gen;1632;472;1;None;True;0;0
300209;Барабинская-220;gen;1671;0;1;None;True;0;0
