index;name;etype;from_bus;to_bus;length_km;r_ohm_per_km;x_ohm_per_km;c_nf_per_km ;max_i_ka;parallel;type;in_service
400241;Ульке-220 - Акжар;line;3020;3004;1;2.65;11.58;0.22695503;10;1;ol;TRUE
400242;Талдыкорган-220 - Сары-Озек;line;988;950;1;4.74;20.76;0.40680018;10;1;ol;FALSE
400243;КРОПАЧЕВО - ПРИВАЛОВСКАЯ;line;4714;50032;1;1.78;23.79;1.1300005;10;1;ol;FALSE
400244;УФИМСКАЯ - КРОПАЧЕВО;line;4712;4714;1;2.37;36.08;1.3750992;10;1;ol;FALSE
400245;АЛМА - ТАЛДЫКОРГАН-500;line;938;987;1;5.91;62.76;2.33512216;10;1;ol;FALSE
400246;БЕКЕТОВО - УФИМСКАЯ;line;4709;4712;1;1.36;20.67;0.7894088;10;1;ol;FALSE
400247;МАГНИТОГОРСКАЯ - СМЕЛОВСКАЯ;line;4785;50014;1;0.64;5.9;0.222817;10;1;ol;FALSE
400248;юкгрэс - Чиганак;line;901;925;1;0.9800000191;4.3000001907;0.0827605991;10;1;ol;FALSE
400249;Актюбе-220 - Ульке-220;line;3006;3020;1;4.9400000572;17.7000007629;0.34568466;10;1;ol;TRUE
400250;Кимперсай - Акжар;line;3005;3004;1;7.23;31.66;0.62006788;10;1;ol;TRUE
400251;Актюбе-220 - Акжар;line;3006;3004;1;1.4;6.13;0.12032118;10;1;ol;TRUE
400252;Кумколь - гпп-2;line;467;5957;1;26.4099998474;104.1999969482;2.1791501779;10;1;ol;FALSE
400253;ЭКИБАСТУЗСКАЯ - ЭГРЭС-2-500;line;26;28;1;0.93;11.27;0.31289873;10;2;ol;FALSE
400254;ЭГРЭС-1-500 - ЭКИБАСТУЗСКАЯ;line;25;26;1;0.25;3.15;0.126400901;10;2;ol;FALSE
400255;Жана-арка - Kаражал;line;453;465;1;10.6000003815;43;0.8260144401;10;1;ol;FALSE
400256;цгпп - Акмолинская ТЭЦ;line;130;108;1;0.25;1.28;0.02673804;10;2;ol;FALSE
400257;ЭГРЭС-1-500 - ЦГПП ;line;25;129;1;7.3;89.75;3.37949727;10;1;ol;FALSE
400258;эгрэс-1 - бгок;line;39;62;1;5.17;33.19;0.76298907;10;1;ol;FALSE
400259;Смирново - Аврора;line;143;148;1;0.75;3.26;0.06398031;10;1;ol;FALSE
400260;вэс ерейментау - Ерментау (т);line;155;166;1;1.7;7.7;0.15119725;10;1;ol;FALSE
400261;Еркеншилик (т) - вэс ерейментау;line;167;155;1;5.05;22.57;0.442864703;10;1;ol;FALSE
400262;Смирново - Аврора;line;143;148;1;0.79;3.44;0.06748172;10;2;ol;FALSE
400263;црмз - ээпк;line;54;53;1;1.84;7.59;0.16361134;10;1;ol;FALSE
400264;Коян-Кос - тэц-3 2сш;line;953;904;1;0.8500000238;4.75;0.0970845481;10;1;ol;FALSE
400265;Коян-Кос - тэц-3 2сш;line;953;904;1;0.8500000238;4.75;0.0970845481;10;2;ol;FALSE
400266;пс-7 - Коян-Кос;line;912;953;1;1.1299999952;6.3000001907;0.1289155473;10;1;ol;FALSE
400267;пс-7 - Коян-Кос;line;912;953;1;1.1299999952;6.3000001907;0.1289155473;10;2;ol;FALSE
400268;Робот - Алма;line;907;939;1;2.0999999046;14.1999998093;0.2988930962;10;1;ol;FALSE
400269;АГАДЫРЬ-500 - ЮКГРЭС;line;469;900;1;12.7;115.6;4.8574106;10;2;ol;FALSE
400270;ЕЭК-500 - ЭГРЭС-1-500;line;31;25;1;3.05;36.64;1.47313868;10;1;ol;FALSE
400271;нс-12 - нс 17;line;52;307;1;8.1499996185;32.1599998474;0.6729073223;10;1;ol;TRUE
400272;Шымкент-220 - Шымкентская ТЭЦ-3;line;831;813;1;2.4100000858;9.4899997711;0.1941690963;10;2;ol;FALSE
400273;Cарань - грэс-2;line;308;355;1;3.89;15.24;0.3055776;10;1;ol;FALSE
400274;Главная - Чуйская;line;2916;2932;1;5.87;25.28;0.516712623;10;1;ol;TRUE
400275;Cарань - грэс-2;line;308;355;1;3.89;15.24;0.3055776;10;2;ol;FALSE
400276;Осакаровка - Cарань;line;306;308;1;9.81;38.36;0.7734933;10;1;ol;FALSE
400277;Осакаровка - Cарань;line;306;308;1;9.81;38.36;0.7734933;10;2;ol;FALSE
400278;ЕЭК-500 - РУБЦОВСКАЯ;line;31;1621;1;10.25;98.5;4.1061991394;10;1;ol;FALSE
400279;ДАТКА - КЕМИН;line;2950;2951;1;9.72;120.63;4.9401712;10;1;ol;TRUE
400280;ДАТКА - ТОКТОГУЛЬСКАЯ ГЭС;line;2950;2921;1;2.4;23.92;0.95493;10;1;ol;TRUE
400281;ИСЕТЬ - КОЗЫРЕВО;line;50001;4703;1;4.05;41.19;1.655212;10;1;ol;FALSE
400282;ЕЭК-500 - ИРТЫШСКАЯ;line;31;1850;1;7.6199998856;76.8000030518;3.0334942384;10;1;ol;FALSE
400283;КУРЧАТОВСКАЯ - ШАГОЛ   ;line;50002;4782;1;4.42;68.2;2.602757208;10;1;ol;FALSE
400284;Апановка - Аман-карагай;line;573;572;1;6.5999999046;25.3999996185;0.5188453135;10;1;ol;TRUE
400285;ЗАРЯ     - БАРАБИНСКАЯ;line;1631;9917;1;10.8;110;4.37835405;10;1;ol;FALSE
400286;грэс-2 - Коунрад-220;line;355;481;1;34.2000007629;146.1999969482;3.0029366163;10;1;ol;FALSE
400287;РУБЦОВСКАЯ - БАРНАУЛ-500;line;1621;1630;1;10.3;105;4.3640301;10;1;ol;FALSE
400288;Бесагаш - Ерменсай;line;940;942;1;1;5.4000000954;4.4760752114;10;1;ol;TRUE
400289;Бесагаш - Ерменсай;line;940;942;1;1;5.4000000954;4.4760752114;10;2;ol;FALSE
